"Var1"	"n"
"1"	"A"	8
"2"	"B"	3
"3"	"C"	3
"4"	"D"	5
"5"	"E"	5
"6"	"F"	5
"7"	"G"	1
"8"	"H"	1
"Var1"	"n"
"1"	"A"	8
"2"	"B"	3
"3"	"C"	3
"4"	"D"	5
"5"	"E"	5
"6"	"F"	5
"7"	"G"	1
"8"	"H"	1
