"Var1"	"n"
"1"	"A"	14
"2"	"B"	2
"3"	"C"	1
"Var1"	"n"
"1"	"A"	0.823529411764706
"2"	"B"	0.117647058823529
"3"	"C"	0.0588235294117647
"Var1"	"n"
"1"	"A"	14
"2"	"B"	2
"3"	"C"	1
"Var1"	"n"
"1"	"A"	14
"2"	"B"	2
"3"	"C"	1
"Var1"	"n"
"1"	"A"	14
"2"	"B"	2
"3"	"C"	1
