"Var1"	"n"
"1"	"0"	25
"2"	"1/mois <38"	1
"3"	"33SA : 2,2<38"	1
"4"	"4,5<38"	1
"Var1"	"n"
"1"	"0"	0.892857142857143
"2"	"1/mois <38"	0.0357142857142857
"3"	"33SA : 2,2<38"	0.0357142857142857
"4"	"4,5<38"	0.0357142857142857
"Var1"	"n"
"1"	"0"	25
"2"	"1/mois <38"	1
"3"	"33SA : 2,2<38"	1
"4"	"4,5<38"	1
