"Var1"	"n"
"1"	"A"	6
"2"	"B"	15
"3"	"C"	8
"4"	"D"	1
"Var1"	"n"
"1"	"A"	0.2
"2"	"B"	0.5
"3"	"C"	0.266666666666667
"4"	"D"	0.0333333333333333
"Var1"	"n"
"1"	"A"	6
"2"	"B"	15
"3"	"C"	8
"4"	"D"	1
