"Var1"	"n"
"1"	"A"	8
"2"	"B"	3
"3"	"C"	3
"4"	"D"	5
"5"	"E"	5
"6"	"F"	5
"7"	"G"	1
"8"	"H"	1
"Var1"	"n"
"1"	"A"	0.258064516129032
"2"	"B"	0.0967741935483871
"3"	"C"	0.0967741935483871
"4"	"D"	0.161290322580645
"5"	"E"	0.161290322580645
"6"	"F"	0.161290322580645
"7"	"G"	0.032258064516129
"8"	"H"	0.032258064516129
"Var1"	"n"
"1"	"A"	8
"2"	"B"	3
"3"	"C"	3
"4"	"D"	5
"5"	"E"	5
"6"	"F"	5
"7"	"G"	1
"8"	"H"	1
