"Var1"	"n"
"1"	"A"	20
"2"	"B"	4
"3"	"C"	3
"Var1"	"n"
"1"	"A"	0.740740740740741
"2"	"B"	0.148148148148148
"3"	"C"	0.111111111111111
"Var1"	"n"
"1"	"A"	20
"2"	"B"	4
"3"	"C"	3
