"Var1"	"n"
"1"	"A"	12
"2"	"C"	3
"Var1"	"n"
"1"	"A"	0.8
"2"	"C"	0.2
"Var1"	"n"
"1"	"A"	12
"2"	"C"	3
"Var1"	"n"
"1"	"A"	12
"2"	"C"	3
"Var1"	"n"
"1"	"A"	12
"2"	"C"	3
